"Data Source","World Development Indicators",

"Last Updated Date","2020-10-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6555053609421","15.615748449837","15.5384264080958","15.4288212260381","15.3480050384758","15.357816600687","15.2049077790327","15.0904495569213","15.0270710689418","14.9923158081587","14.9556440759652","15.0619577827563","15.2013611627499","15.3532238694603","15.5130158587664","15.6859346991412","15.5342282172595","15.4026905959848","15.3164924993512","15.2999740300808","15.3669711022063","15.7032519696421","16.1140224326991","16.9593220440996","17.8482571484625","18.786208174185","19.8176761252978","20.8970576970748","21.2721971649173","21.4470610984489","21.6186890798279",
"Angola","AGO","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2722098300448","48.3230948115596","48.3535387234781","48.3367167750454","48.4042314167948","48.5172119249244","48.6127689990555","48.7122747063785","48.8175419761674","48.9203286923427","49.0241850157129","49.0979585058029","49.1982710054671","49.2770763945862","49.3777841879602","49.4859508734124","49.5643012682403","49.6543093218425","49.7359312881133","49.7863041829653","49.8462047932726","49.8665201765631","49.9101329121523","49.9537928599519","50.0035569899111","50.0509139551099","50.0983085494172","50.154904594908","50.2114677077288","50.2530636701935","50.2931089528877",
"Albania","ALB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4829469504201","43.0079890805346","43.8611072370894","44.1848368002121","44.5058166377679","44.5321749907571","43.9819910105303","43.8038369582499","42.9760094547549","42.1472979004459","41.6384398438849","41.4412487402071","41.4686069963988","41.6402052910444","41.8476165303648","42.0374642806031","42.2195349161989","42.3650477933602","42.4754442078792","41.6077701060953","42.4450507992055","42.4088203590381","42.3882017126546","41.2509928383807","40.6227873626698","41.5237886972476","41.4466594414032","41.4294056584216","41.4669102640168","41.4753375958865","41.471733852273",
"Andorra","AND","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.6979952427942","19.7356971721827","19.750043887256","19.8367636123079","20.1007860093717","20.0462886781457","20.0669356453209","19.9783759301697","19.9798703252889","20.3583676158853","20.4808674340437","20.581340462885","20.2650135365366","20.467833910423","20.5521844534802","20.5959241723786","20.6836856918492","20.9996067603778","20.6111387891012","20.6982847866947","20.6118623259451","20.596132360562","20.7317955475552","20.9375720920779","20.9865395452712","20.9882029615242","21.1468764203238","20.7468127505557","20.711250749838","20.7177210038307","20.7295788324824",
"United Arab Emirates","ARE","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7905106028154","11.0241450079496","11.2026882989942","11.4459132688971","11.5466939403844","11.6357502936923","11.7635209918222","11.8654426724421","11.9365402715282","11.9790385009352","11.992825421816","12.1952826841431","12.3985353350421","12.5035461593035","12.3929537830264","12.0669972724345","11.7307701116256","11.3596966219823","11.1282997941738","11.1399663829402","11.4137854092598","12.0685031224857","12.9649362244588","14.0298418590182","15.1182528558221","16.0893986110781","16.7709983403211","17.3734227364409","17.4684986893921","17.5783889791383","17.7107444953095",
"Argentina","ARG","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3851997629884","39.8686707063616","40.3303513967854","40.8116934084395","41.1869179487475","41.1760199144248","41.5241026710226","41.9648953351554","42.2149009248192","42.1300692573206","42.1350797573078","41.9914130584272","41.5100171894061","41.8463455053134","42.1862329211075","41.8453388809991","42.0720291175407","41.7815367639477","41.4977052390446","41.8192191215302","41.3839589223488","41.4441797960581","41.599605177296","41.4418411787855","41.2453685739753","41.609166560609","41.9785045550336","42.3421908976806","43.0035458898206","42.9627108154406","42.917038534661",
"Armenia","ARM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.3366597561404","43.5950645459163","43.9415547722197","44.3584234646016","44.8130696829527","45.2712261077195","45.6472588144363","45.989706719333","46.2903217918224","46.542289167464","46.7450097696463","46.7647468173073","46.7342189485459","46.6744259175314","46.610074871662","46.5601845913027","46.5071684282926","46.4863909394538","46.4771339525769","46.5227620617938","45.7849054645259","47.0968958477893","47.1797255557094","47.2496783915904","47.1147505231511","46.8917982431496","46.1220508052678","46.2138314413421","46.1844242889801","46.1673180854043","46.1332334444546",
"American Samoa","ASM","Labor force, female (% of total labor force)","SL.TLF.TOTL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
