CODIGO_MODULAR,NOMBRE_INSTITUCION,NOMBRE_DEPARTAMENTO,TIPO_GESTION,TIPO_INSTITUCION,FECHA_EMISION_TITULO,FECHA_GENERACION_CODIGO,CODIGO_TITULO_GENERADO,FAMILIA_PRODUCTIVA,NOMBRE_CARRERA,NIVEL_FORMACION
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802465,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802464,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802463,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802462,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802461,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802460,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802459,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802458,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802457,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802456,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802455,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802454,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802453,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802452,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802451,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802450,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1385079,CEFOP LA LIBERTAD,LA LIBERTAD,PUBLICO,IEST,29/10/2018,31/12/2018,A01201802449,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,M29201815689,SERVICIOS PRESTADOS A EMPRESAS,SECRETARIADO EJECUTIVO,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,J26201808103,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,M29201815688,SERVICIOS PRESTADOS A EMPRESAS,ADMINISTRACIÓN,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,M29201815687,SERVICIOS PRESTADOS A EMPRESAS,ADMINISTRACIÓN DE EMPRESAS,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,M29201815686,SERVICIOS PRESTADOS A EMPRESAS,ADMINISTRACIÓN DE EMPRESAS,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,J26201808102,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,M29201815685,SERVICIOS PRESTADOS A EMPRESAS,ADMINISTRACIÓN,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,M29201815684,SERVICIOS PRESTADOS A EMPRESAS,ADMINISTRACIÓN DE EMPRESAS,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,J26201808101,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1003763,BITEC,ANCASH,PRIVADO,IEST,05/09/2018,31/12/2018,J26201808100,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1101880,INFOTRONIC,ANCASH,PRIVADO,IEST,18/10/2018,31/12/2018,J26201808099,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1101880,INFOTRONIC,ANCASH,PRIVADO,IEST,18/10/2018,31/12/2018,J26201808098,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1101880,INFOTRONIC,ANCASH,PRIVADO,IEST,18/10/2018,31/12/2018,J26201808097,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1101880,INFOTRONIC,ANCASH,PRIVADO,IEST,18/10/2018,31/12/2018,J26201808096,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,J26201808095,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,M29201815683,SERVICIOS PRESTADOS A EMPRESAS,CONTABILIDAD,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,Q32201813823,SERVICIOS SOCIALES Y DE SALUD,ENFERMERÍA TÉCNICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,M29201815682,SERVICIOS PRESTADOS A EMPRESAS,CONTABILIDAD,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,J26201808094,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,A01201802448,ACTIVIDADES AGROPECUARIAS Y FORESTALES,AGROPECUARIA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,A01201802447,ACTIVIDADES AGROPECUARIAS Y FORESTALES,AGROPECUARIA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,J26201808093,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,M29201815681,SERVICIOS PRESTADOS A EMPRESAS,CONTABILIDAD,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,J26201808092,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,Q32201813822,SERVICIOS SOCIALES Y DE SALUD,ENFERMERÍA TÉCNICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,M29201815680,SERVICIOS PRESTADOS A EMPRESAS,CONTABILIDAD,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,A01201802446,ACTIVIDADES AGROPECUARIAS Y FORESTALES,PRODUCCIÓN AGROPECUARIA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,J26201808091,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
0684654,DE PISCOBAMBA,ANCASH,PUBLICO,IEST,26/11/2018,31/12/2018,J26201808090,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
1016286,RICARDO RAMOS PLATA,PIURA,PUBLICO,IEST,30/10/2018,31/12/2018,J26201808089,TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIONES - TICS,COMPUTACIÓN E INFORMÁTICA,PROFESIONAL TÉCNICO
